code,name,current_price,current_value,avg_trading_value,trading_value_ratio,period_high,period_low,price_ratio,volume
033530,SJG세종,7500.0,20933092500.0,2397767524.5,8.730242730418631,7500,3745,2.0026702269692924,2791079.0
00680K,미래에셋증권2우B,10590.0,23620253700.0,9462785804.5,2.4961205070041275,10590,3820,2.7722513089005236,2230430.0
