종목코드,종목명,현재가,3개월최고가,20주이평선,3개월평균거래량,현재거래량,거래량비율,최고가돌파,이평선돌파,거래량급증,거래대금,52주신고가
138080,오이솔루션,14100,14100,10323.0,66607.06896551725,873611,13.115890153525177,True,True,True,12317915100,14520
03473K,SK우,189400,189400,162875.0,4509.827586206897,30139,6.68296058416485,True,True,True,5708326600,189400
101170,우림피티에스,7550,7550,5261.0,289208.275862069,10946728,37.85067341994315,True,True,True,82647796400,7550
047400,유니온머티리얼,2210,2210,1608.6,419487.2931034483,13369294,31.870557749416847,True,True,True,29546139740,2785
043260,성호전자,1277,1277,1118.15,569993.8965517242,7498348,13.155137353860352,True,True,True,9575390396,1667
051630,진양화학,3210,3210,2173.75,122473.13793103448,655004,5.3481441813701025,True,True,True,2102562840,5940
263810,상신전자,3910,3910,3062.5,263210.5172413793,9070274,34.460150358209404,True,True,True,35464771340,3910
037370,EG,6850,6850,5863.5,44250.68965517241,1700683,38.43291513087659,True,True,True,11649678550,7480
