code,name,current_price,high_250d,low_250d,gain_from_low,volume_surge_ratio,current_value,avg_value_20d,market_cap,turnover_ratio,inst_net_buy,foreign_net_buy,inst_volume,foreign_volume,trading_date
454910,두산로보틱스,92100,81200,39550,132.87,7.43,4627.37,623.08,59699.2,7.75,137.77,41.76,149587,45340,20251103
010060,OCI홀딩스,128600,119600,54900,134.24,2.72,540.94,199.08,24195.98,2.24,63.03,78.67,49009,61172,20251103
307950,현대오토에버,225000,209000,107000,110.28,4.94,1547.8,313.62,61703.96,2.51,42.08,41.26,18703,18336,20251103
006340,대원전선,4220,4095,2205,91.38,7.08,2467.63,348.41,3164.12,77.99,-1.69,72.06,-40042,1707530,20251103
092200,디아이씨,6420,6260,3165,102.84,9.66,996.61,103.17,2496.65,39.92,1.11,19.2,17284,299101,20251103
322180,LS티라유텍,7540,6570,4400,71.36,8.31,135.91,16.36,1577.52,8.62,-0.0,11.03,-17,146333,20251103
234080,JW생명과학,13780,13650,10000,37.8,2.35,17.79,7.59,2182.0,0.82,0.01,2.26,56,16382,20251103
